Name,Date/Time,Assay Conc.,Units,Stock Conc.,Units,Assay Type,Sample Vol (킠),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Green RFU,Far Red RFU
10:15:08 AM,2015-10-02 10:15:08 AM,<0.50,ng/ml,,,dsDNA HS,,,93.37,49362.80,,BLUE,93.62,
10:26:27 AM,2015-09-30 10:26:27 AM,344,ng/ml,,,dsDNA HS,,,93.37,49362.80,,BLUE,34508.52,
10:26:13 AM,2015-09-30 10:26:13 AM,228,ng/ml,,,dsDNA HS,,,93.37,49362.80,,BLUE,23091.33,
10:26:07 AM,2015-09-30 10:26:07 AM,199,ng/ml,,,dsDNA HS,,,93.37,49362.80,,BLUE,20192.44,
10:25:49 AM,2015-09-30 10:25:49 AM,201,ng/ml,40.2,ng/킠,dsDNA HS,1,200.00,93.37,49362.80,,BLUE,20401.11,
11:31:27 AM,2015-09-11 11:31:27 AM,378,ng/ml,37.8,ng/킠,dsDNA HS,2,100.00,92.93,43945.80,,BLUE,33634.96,
11:31:12 AM,2015-09-11 11:31:12 AM,399,ng/ml,39.9,ng/킠,dsDNA HS,2,100.00,92.93,43945.80,,BLUE,35409.49,
11:30:39 AM,2015-09-11 11:30:39 AM,<0.50,ng/ml,,,dsDNA HS,,,92.93,43945.80,,BLUE,9.73,
11:30:21 AM,2015-09-11 11:30:21 AM,<0.50,ng/ml,,,dsDNA HS,,,92.93,43945.80,,BLUE,9.60,
3:10:03 PM,2015-09-09 3:10:03 PM,314,ng/ml,,,dsDNA HS,,,92.93,43945.80,,BLUE,28084.38,
3:09:51 PM,2015-09-09 3:09:51 PM,357,ng/ml,,,dsDNA HS,,,92.93,43945.80,,BLUE,31809.19,
3:09:40 PM,2015-09-09 3:09:40 PM,383,ng/ml,,,dsDNA HS,,,92.93,43945.80,,BLUE,34085.87,
3:09:29 PM,2015-09-09 3:09:29 PM,169,ng/ml,,,dsDNA HS,,,92.93,43945.80,,BLUE,15329.11,
3:07:28 PM,2015-09-09 3:07:28 PM,159,ng/ml,15.9,ng/킠,dsDNA HS,2,100.00,92.93,43945.80,,BLUE,14387.11,
6:24:03 PM,2015-07-07 6:24:03 PM,135,ng/ml,,,dsDNA HS,,,99.09,40246.07,,BLUE,11229.87,
6:23:57 PM,2015-07-07 6:23:57 PM,105,ng/ml,,,dsDNA HS,,,99.09,40246.07,,BLUE,8742.65,
6:23:49 PM,2015-07-07 6:23:49 PM,107,ng/ml,,,dsDNA HS,,,99.09,40246.07,,BLUE,8930.54,
6:23:24 PM,2015-07-07 6:23:24 PM,139,ng/ml,27.8,ng/킠,dsDNA HS,1,200.00,99.09,40246.07,,BLUE,11572.93,
